,link,Name,Subtitle,Price,Sale price
161,https://www.nike.com/t/multi-big-kids-therma-fit-pullover-hoodie-ln7Tzf/FD3893-365,Nike Multi+,Big Kids' Therma-FIT Pullover Hoodie,$55,$40.97
162,https://www.nike.com/t/club-big-kids-cap-zm9RkT/FN4316-406,Nike Club,Big Kids' Cap,$24,$19.97
163,https://www.nike.com/t/spelman-mensflow-shorts-LZqCzL/M73277E201H-SPE,Spelman,Men's Nike College Flow Shorts,$52,$36.97
164,https://www.nike.com/t/sportswear-club-fleece-big-kids-loose-pants-9xdF2W/FD2933-440,Nike Sportswear Club Fleece,Big Kids' Loose Pants,$50,$21.97
165,https://www.nike.com/t/oregon-heritage86trucker-hat-2vSnhJ/C11218C307-ORE,Oregon Heritage86,Nike College Trucker Hat,$30,$23.97
166,https://www.nike.com/t/ksa-baby-0-9m-romper-qXT6xh/56L990-PAL,Nike KSA,Baby (0-9M) Romper,$32,$27.97
167,https://www.nike.com/t/jordan-true-flight-mens-shoes-rV89fM/HF4826-100,Jordan True Flight,Men's Shoes,$150,$112.97
168,https://www.nike.com/t/air-zoom-tr-1-mens-workout-shoes-CM5Cn6/DX9016-400,Nike Air Zoom TR 1,Men's Workout Shoes,$130,$77.97
169,https://www.nike.com/t/franz-wagner-orlando-magic-city-edition-2023-24-mens-dri-fit-nba-swingman-jersey-GWL0FX/DX8514-422,Franz Wagner Orlando Magic City Edition 2023/24,Men's Nike Dri-FIT NBA Swingman Jersey,$120,$89.97
170,https://www.nike.com/t/sportswear-club-fleece-big-kids-hoodie-extended-size-twzNLC/FD2989-126,Nike Sportswear Club Fleece,Big Kids' Hoodie (Extended Size),$50,$40.97
171,https://www.nike.com/t/solo-swoosh-womens-fleece-pants-8JmVnT/CW5565-030,Nike Solo Swoosh,Women's Fleece Pants,$100,$50.97
172,https://www.nike.com/t/superfly-9-elite-mercurial-dream-speed-fg-high-top-soccer-cleats-sb8gJK/FJ7186-300,Nike Superfly 9 Elite Mercurial Dream Speed,FG High-Top Soccer Cleats,$295,$224.97
